Area,Year,Total_population,Occupied_housing,Vacant_housing,Median_value,Median_income
New York City,2018,8398748 ,3184496 ,334957 ,645100 ,63799 
Bronx,2018,1432132 ,507370 ,25139 ,436100 ,38467 
Brooklyn,2018,2582830 ,969317 ,84350 ,759400 ,61220 
Manhattan,2018,1628701 ,752258 ,134024 ,1013400 ,85066 
Queens,2018,2278906 ,788110 ,77699 ,577400 ,69320 
Staten Island,2018,476179 ,167441 ,13745 ,556000 ,82166 
New York City,2017,8622698 ,3159674 ,337670 ,609500 ,97836 
Bronx,2017,1471160 ,503985 ,24866 ,400300 ,55423 
Brooklyn,2017,2648771 ,956223 ,88064 ,701800 ,87312 
Manhattan,2017,1664727 ,764218 ,122166 ,976100 ,151745 
Queens,2017,2358582 ,769258 ,87992 ,545800 ,84628 
Staten Island,2017,479458 ,165990 ,14582 ,501300 ,100248 
New York City,2016,8537673 ,3114811 ,349059 ,569700 ,58856 
Bronx,2016,1455720 ,498539 ,27249 ,378000 ,37525 
Brooklyn,2016,2629150 ,941871 ,89254 ,667000 ,55150 
Manhattan,2016,1643734 ,748293 ,127697 ,1003400 ,77559 
Queens,2016,2333054 ,761819 ,89757 ,508000 ,62207 
Staten Island,2016,476015 ,164289 ,15102 ,477100 ,77197 
New York City,2015,8550405 ,3129147 ,318831 ,538300 ,55752 
Bronx,2015,1455444 ,495513 ,28222 ,368500 ,35176 
Brooklyn,2015,2636735 ,940176 ,85639 ,638500 ,51141 
Manhattan,2015,1644518 ,751244 ,118646 ,867600 ,75575 
Queens,2015,2339150 ,774752 ,74800 ,487400 ,60422 
Staten Island,2015,474558 ,167462 ,11524 ,457700 ,71622 
New York City,2014,8491079 ,3148067 ,290675 ,496200 ,52996 
Bronx,2014,1438159 ,492481 ,29680 ,359100 ,33712 
Brooklyn,2014,2621793 ,942402 ,80167 ,574800 ,47966 
Manhattan,2014,1636268 ,762228 ,105415 ,888500 ,76089 
Queens,2014,2321580 ,785985 ,61788 ,447300 ,57241 
Staten Island,2014,473279 ,164971 ,13625 ,441000 ,71121 
New York City,2013,8405837 ,3084861 ,309625 ,488100 ,52223 
Bronx,2013,1418733 ,481143 ,35331 ,369400 ,33009 
Brooklyn,2013,2592149 ,925489 ,80592 ,557000 ,47520 
Manhattan,2013,1626159 ,726357 ,126285 ,848600 ,72190 
Queens,2013,2296175 ,784243 ,57011 ,439500 ,56599 
Staten Island,2013,472621 ,167629 ,10406 ,432600 ,69633 
